DateTime,AddedIPs,RemovedIPs
1594519967,812,229
1594521864,23,220
1594523787,34,229
1594525725,40,220
1594527634,26,221
1594529537,37,265
1594531475,33,236
1594533386,38,312
1594535327,36,229
1594538473,50,413
1594540339,35,78
1594542268,31,32
1594544237,44,37
1594546103,46,36
1594548321,65,43
1594550189,37,28
1594552127,40,29
1594554018,25,28
1594555939,30,49
1594557903,47,27
1594559783,35,31
1594561708,36,36
1594563669,25,38
1594565594,13,27
1594567498,19,24
1594569390,30,24
1594571352,122,28
1594573525,66,37
1594575467,49,36
1594577304,28,30
1594579232,39,29
1594581169,60,32
1594583074,114,33
1594584980,78,37
1594586928,35,43
1594588836,34,42
1594590773,46,39
1594592700,93,26
1594594613,70,39
1594597980,98,123
1594599867,38,107
1594601780,41,65
1594603690,50,79
1594606575,63,71
1594608775,36,32
1594610700,55,43
1594612605,52,44
1594614496,58,38
1594616593,50,40
1594618574,41,45
1594620517,52,54
1594622413,54,37
1594624600,59,33
1594626554,61,33
1594628435,41,35
1594630354,34,40
1594632288,41,31
1594634171,39,43
1594636090,40,37
1594638240,96,52
1594640201,31,50
1594642095,37,37
1594644014,36,32
1594646189,47,42
1594648124,60,40
1594650020,36,35
1594651934,43,16
1594653865,72,19
1594655786,25,30
1594657738,41,63
1594659745,37,33
1594661568,30,40
1594663486,38,32
1594665390,59,30
1594667324,68,47
1594670223,97,181
1594672093,59,1245
1594675010,167,2283
1594676910,77,1645
1594678826,75,1434
1594680771,148,1538
1594682688,116,351
1594684583,67,98
1594686523,93,81
1594688749,104,104
1594690581,86,109
1594692791,113,101
1594694661,82,66
1594696742,77,121
1594698771,107,99
1594700680,59,111
1594702606,85,92
1594704520,85,94
1594706646,86,95
1594708506,64,138
1594710532,80,112
1594712597,80,107
1594714607,91,83
1594716535,83,84
1594718425,91,54
1594720345,75,91
1594722912,127,151
1594724929,137,159
1594726845,171,72
1594729084,125,94
1594730925,82,80
1594732844,144,101
1594734844,213,103
1594736688,115,87
1594738576,62,80
1594740519,71,163
1594742681,70,82
1594744612,54,86
1594746499,75,93
1594748420,79,71
1594750363,80,82
1594752254,94,102
1594754176,117,90
1594756128,116,90
1594758017,109,91
1594759941,117,97
1594761760,177,126
1594763566,124,90
1594765457,110,88
1594767373,90,102
1594769220,99,102
1594771436,122,75
1594773404,93,114
1594775301,64,88
1594777243,95,74
1594779163,84,66
1594781078,105,86
1594783000,81,71
1594784930,119,105
1594786837,84,109
1594788741,81,70
1594790696,83,88
1594792575,62,68
1594794536,75,82
1594796656,97,97
1594798585,83,74
1594800397,90,76
1594802212,72,77
1594804106,71,78
1594806022,76,89
1594807998,65,102
1594809863,59,74
1594811780,90,95
1594813740,84,93
1594815648,627,58
1594817536,1329,52
1594819558,1221,51
1594821379,1344,67
1594823294,1182,66
1594825383,1405,35
1594827204,1119,30
1594829174,495,27
1594831027,55,22
1594832905,32,33
1594834862,49,22
1594836774,32,22
1594838661,38,31
1594840594,66,27
1594842537,84,49
1594844436,45,30
1594846389,47,33
1594848319,44,34
1594850216,47,36
1594852341,67,55
1594854300,49,58
1594856213,52,61
1594858167,41,38
1594860065,50,40
1594861968,41,28
1594863867,36,32
1594865788,36,41
1594867704,38,34
1594869671,47,36
1594871544,43,60
1594873465,91,29
1594875473,51,42
1594877299,48,32
1594879490,40,32
1594881377,33,39
1594883394,43,43
1594885224,43,32
1594887173,28,23
1594889061,44,33
1594890979,36,34
1594892924,33,27
1594894840,47,22
1594896742,41,22
1594898715,45,27
1594900589,33,31
1594902523,43,41
1594904680,46,39
1594906866,47,57
1594908695,71,44
1594910982,300,70
1594913029,291,39
1594915100,289,51
1594916905,135,38
1594919090,48,37
1594920972,28,37
1594922930,47,30
1594925799,80,49
1594928066,235,62
1594930120,258,39
1594932143,288,50
1594934273,237,46
1594936126,169,25
1594938015,117,48
1594939949,42,29
1594941851,39,44
1594943801,40,36
1594945698,43,39
1594947874,31,114
1594949776,47,926
1594951731,60,301
1594953677,40,1296
1594955534,59,1234
1594957483,47,1742
1594959408,84,1211
1594961301,68,1153
1594963249,70,693
1594965140,79,71
1594967100,72,105
1594969032,69,79
1594970898,101,109
1594973035,87,87
1594974898,98,104
1594976928,91,106
1594978824,81,79
1594980745,81,87
1594982672,103,118
1594984580,105,91
1594986530,78,85
1594988425,58,103
1594990347,95,97
1594992295,92,98
1594994193,87,73
1594996099,90,134
1594998272,72,215
1595000218,118,218
1595002130,103,205
1595004025,123,291
1595005967,114,85
1595007878,115,95
1595009782,97,104
1595012002,77,105
1595013910,66,185
1595015779,77,222
1595017748,91,347
1595019956,173,436
1595021812,133,533
1595023715,141,547
1595025671,145,116
1595027567,123,87
1595029463,99,93
1595031411,106,84
1595033339,108,85
1595035221,97,102
1595037143,103,72
1595039089,83,126
1595041043,78,78
1595042899,89,86
1595045050,94,94
1595046999,105,95
1595049170,84,92
1595051059,67,81
1595052977,82,68
1595054926,101,68
1595056819,72,108
1595058736,93,90
1595060694,92,91
1595062619,85,88
1595064509,67,84
1595066668,87,75
1595068597,122,114
1595070493,77,104
1595072425,67,98
1595074364,81,76
1595076253,45,66
1595078174,101,97
1595080119,88,78
1595082012,83,112
1595083930,90,73
1595085963,84,68
1595087780,64,79
1595089936,123,112
1595091864,74,64
1595093801,71,97
1595095819,129,65
1595097733,415,70
1595099546,352,64
1595101461,103,84
1595103407,73,83
1595105316,57,95
1595107279,86,100
1595109167,66,41
1595111065,119,78
1595112978,116,81
1595114925,115,92
1595117812,138,146
1595119702,144,79
1595121625,95,101
1595123579,60,100
1595125480,60,94
1595127450,61,102
1595129346,107,88
1595131424,239,107
1595133380,1120,101
1595135324,1097,82
1595137218,1154,75
1595139167,966,92
1595141060,172,96
1595142973,70,112
1595144920,49,147
1595146818,46,222
1595148734,38,186
1595150729,52,80
1595152589,67,42
1595154515,44,52
1595156580,35,56
1595158405,60,44
1595160306,32,58
1595162204,66,39
1595164095,116,43
1595166017,83,55
1595168086,56,48
1595170077,213,58
1595172047,143,43
1595173966,59,48
1595175891,30,55
1595177805,23,38
1595179697,267,49
1595181868,261,33
1595183808,102,262
1595186014,74,508
1595187875,47,51
1595189792,38,40
1595191734,153,32
1595193624,227,46
1595195589,172,38
1595197502,82,53
1595199381,65,70
1595201194,83,57
1595203381,173,58
1595205404,107,67
1595207307,53,47
1595209217,55,47
1595211168,50,33
1595213062,104,40
1595215017,80,54
1595216925,54,82
1595218813,65,727
1595220740,38,1139
1595222706,85,1006
1595224593,125,1074
1595226831,101,591
1595228691,71,100
1595230576,45,80
1595232501,68,77
